Category,ID,Latitude,Longitude,Date,MOD11A1_061_LST_Day_1km,MOD11A1_061_LST_Night_1km
Brody 1,3,52.4393333,16.2788972,2018-08-21,0.0,284.5
Brody 1,3,52.4393333,16.2788972,2018-08-22,305.6199951,287.2799988
Brody 1,3,52.4393333,16.2788972,2018-08-23,308.5,291.1000061
Brody 1,3,52.4393333,16.2788972,2018-08-24,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-08-25,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-08-26,0.0,280.6399841
Brody 1,3,52.4393333,16.2788972,2018-08-27,298.8999939,285.5400085
Brody 1,3,52.4393333,16.2788972,2018-08-28,295.8999939,282.2399902
Brody 1,3,52.4393333,16.2788972,2018-08-29,302.4599915,284.1000061
Brody 1,3,52.4393333,16.2788972,2018-08-30,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-08-31,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-01,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-02,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-03,295.4799805,287.6399841
Brody 1,3,52.4393333,16.2788972,2018-09-04,0.0,286.2200012
Brody 1,3,52.4393333,16.2788972,2018-09-05,292.6000061,285.4799805
Brody 1,3,52.4393333,16.2788972,2018-09-06,0.0,284.1399841
Brody 1,3,52.4393333,16.2788972,2018-09-07,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-08,294.8800049,280.6000061
Brody 1,3,52.4393333,16.2788972,2018-09-09,0.0,282.0599976
Brody 1,3,52.4393333,16.2788972,2018-09-10,305.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-11,0.0,287.1000061
Brody 1,3,52.4393333,16.2788972,2018-09-12,305.0799866,286.3200073
Brody 1,3,52.4393333,16.2788972,2018-09-13,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-14,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-15,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-16,293.8399963,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-17,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-18,290.519989,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-19,302.9400024,287.5
Brody 1,3,52.4393333,16.2788972,2018-09-20,0.0,288.4400024
Brody 1,3,52.4393333,16.2788972,2018-09-21,302.1199951,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-22,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-23,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-24,0.0,276.0400085
Brody 1,3,52.4393333,16.2788972,2018-09-25,0.0,275.7599792
Brody 1,3,52.4393333,16.2788972,2018-09-26,0.0,282.2599792
Brody 1,3,52.4393333,16.2788972,2018-09-27,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-09-28,0.0,276.6399841
Brody 1,3,52.4393333,16.2788972,2018-09-29,289.2200012,275.519989
Brody 1,3,52.4393333,16.2788972,2018-09-30,288.9599915,273.7999878
Brody 1,3,52.4393333,16.2788972,2018-10-01,291.5599976,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-02,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-03,0.0,277.1199951
Brody 1,3,52.4393333,16.2788972,2018-10-04,0.0,280.6600037
Brody 1,3,52.4393333,16.2788972,2018-10-05,291.9799805,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-06,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-07,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-08,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-09,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-10,294.6799927,282.4199829
Brody 1,3,52.4393333,16.2788972,2018-10-11,294.0,283.9799805
Brody 1,3,52.4393333,16.2788972,2018-10-12,294.7999878,281.6399841
Brody 1,3,52.4393333,16.2788972,2018-10-13,294.4199829,281.519989
Brody 1,3,52.4393333,16.2788972,2018-10-14,293.6000061,280.4400024
Brody 1,3,52.4393333,16.2788972,2018-10-15,293.7399902,279.1199951
Brody 1,3,52.4393333,16.2788972,2018-10-16,291.1199951,278.3399963
Brody 1,3,52.4393333,16.2788972,2018-10-17,292.6999817,279.019989
Brody 1,3,52.4393333,16.2788972,2018-10-18,291.5,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-19,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-20,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-21,0.0,273.2200012
Brody 1,3,52.4393333,16.2788972,2018-10-22,0.0,276.3800049
Brody 1,3,52.4393333,16.2788972,2018-10-23,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-24,281.9599915,274.8599854
Brody 1,3,52.4393333,16.2788972,2018-10-25,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-26,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-27,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-28,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-29,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-30,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-10-31,284.9799805,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-01,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-02,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-03,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-04,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-05,0.0,279.2399902
Brody 1,3,52.4393333,16.2788972,2018-11-06,287.1999817,280.1199951
Brody 1,3,52.4393333,16.2788972,2018-11-07,287.1399841,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-08,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-09,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-10,0.0,276.7399902
Brody 1,3,52.4393333,16.2788972,2018-11-11,0.0,275.6600037
Brody 1,3,52.4393333,16.2788972,2018-11-12,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-13,0.0,278.6000061
Brody 1,3,52.4393333,16.2788972,2018-11-14,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-15,0.0,274.7599792
Brody 1,3,52.4393333,16.2788972,2018-11-16,279.9199829,272.6600037
Brody 1,3,52.4393333,16.2788972,2018-11-17,0.0,268.2599792
Brody 1,3,52.4393333,16.2788972,2018-11-18,0.0,266.0799866
Brody 1,3,52.4393333,16.2788972,2018-11-19,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-20,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-21,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-22,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-23,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-24,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-25,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-26,0.0,267.519989
Brody 1,3,52.4393333,16.2788972,2018-11-27,0.0,269.6199951
Brody 1,3,52.4393333,16.2788972,2018-11-28,274.5599976,270.2599792
Brody 1,3,52.4393333,16.2788972,2018-11-29,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-11-30,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-01,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-02,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-03,0.0,277.5
Brody 1,3,52.4393333,16.2788972,2018-12-04,277.9199829,272.7200012
Brody 1,3,52.4393333,16.2788972,2018-12-05,274.2799988,269.7999878
Brody 1,3,52.4393333,16.2788972,2018-12-06,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-07,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-08,278.7599792,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-09,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-10,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-11,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-12,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-13,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-14,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-15,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-16,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-17,0.0,266.9400024
Brody 1,3,52.4393333,16.2788972,2018-12-18,0.0,272.8999939
Brody 1,3,52.4393333,16.2788972,2018-12-19,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-20,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-21,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-22,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-23,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-24,0.0,259.2799988
Brody 1,3,52.4393333,16.2788972,2018-12-25,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-12-26,0.0,0.0
